,shredded potato,grated onion,saltine crackers,eggs,salt,ground black pepper,vegetable oil
Option 1,5.93,3.87,4.19,8.09,6.37,2.93,5.91
Option 2,8.19,3.65,5.19,4.97,6.37,3.53,4.31
Option 3,6.63,0.9,3.09,7.21,1.65,2.37,4.97
Option 4,4.75,1.89,3.09,9.19,6.63,3.31,5.19
Option 5,3.65,4.41,4.19,4.15,6.63,6.09,8.85
Option 6,5.93,3.75,5.19,8.85,3.09,6.63,16.59
Option 7,8.19,6.87,3.87,13.59,1.57,6.63,4.31
Option 8,5.93,6.63,4.19,11.89,1.57,3.49,4.31
Option 9,17.99,5.65,5.09,10.49,3.45,3.87,5.91
Option 10,8.85,6.43,6.09,6.63,17.69,12.69,19.39
Option 11,6.09,3.31,5.53,6.63,6.97,19.39,16.59
Option 12,9.37,9.97,8.19,6.63,12.69,5.53,17.69
Option 13,1.87,3.87,9.69,3.57,12.69,12.79,12.19
Option 14,3.31,3.31,3.43,9.41,17.99,5.53,12.19
Option 15,4.31,5.93,9.97,6.09,15.49,4.41,3.65
Option 16,7.09,3.75,9.97,9.63,9.97,3.31,5.53
Option 17,14.69,5.71,9.97,11.59,4.41,8.53,9.19
Option 18,4.31,3.33,3.53,6.31,16.59,7.75,6.37
Option 19,5.93,3.97,4.19,6.75,4.41,4.19,17.69
Option 20,3.65,3.57,3.87,9.19,3.45,2.93,4.97
Option 21,4.85,4.87,4.19,5.09,2.71,8.19,16.59
Option 22,7.97,3.87,4.19,8.09,2.97,7.75,22.09
Option 23,4.41,6.63,4.19,7.75,12.99,11.29,1.75
Option 24,5.93,9.75,6.41,6.41,1.47,3.53,1.57
Option 25,5.93,4.41,9.97,6.63,2.37,3.31,7.19
Option 26,7.75,5.53,3.65,7.87,2.87,4.19,6.37
Option 27,1.65,6.75,4.19,8.93,6.37,3.75,6.09
Option 28,5.93,3.31,4.41,9.19,2.71,2.37,15.99
Option 29,4.85,2.43,3.87,8.29,2.97,2.87,4.15
Option 30,4.85,5.09,5.09,5.09,3.45,6.97,6.37
Option 31,3.33,8.85,5.09,4.23,2.87,5.75,3.43
Option 32,3.33,7.53,4.19,8.09,3.59,9.97,2.97
Option 33,5.93,2.72,2.53,9.75,3.45,6.63,4.41
Option 34,6.63,3.87,4.15,6.09,4.41,2.43,7.41
Option 35,7.75,1.37,4.19,3.87,1.87,6.63,17.69
Option 36,1.31,7.19,4.15,5.53,2.73,1.57,6.63
Option 37,4.35,3.29,6.31,6.19,3.45,3.05,6.09
Option 38,5.93,3.31,4.15,6.09,10.49,4.09,19.79
Option 39,4.85,2.89,3.87,6.63,3.97,1.57,4.31
Option 40,6.09,2.19,3.87,9.97,2.53,3.87,3.31
Option 41,3.33,3.87,4.15,9.97,3.09,4.97,4.41
Option 42,5.93,3.87,10.19,3.31,2.19,6.63,8.19
Option 43,3.33,2.53,4.35,6.09,3.45,2.65,9.09
Option 44,5.53,5.53,4.15,6.09,3.75,6.63,4.47
Option 45,5.29,1.38,4.15,3.75,4.09,5.53,14.39
